UniqueID,Variable,EMS_Code,Use,Media,Type,Days,Samples,Statistic,Notes,Condition,ConditionNotes,PredictedEffectLevel,Direction,Limit,LimitNotes,Units,Status,Reference,Reference Link,Overview Report Link,Technical Document Link
426,Fluoride Total,EMS_0106,Wildlife,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,1,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-tech.pdf
427,Fluoride Total,EMS_1106,Agriculture - Irrigation,Water,Short-term acute,1,1,max,All soil types,,,No Effect,Upper Limit,1,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-tech.pdf
428,Fluoride Total,EMS_1106,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,All soil types,,,No Effect,Upper Limit,2,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-tech.pdf
429,Fluoride Total,EMS_1106,Agriculture - Livestock,Water,Short-term acute,1,1,max,"All other livestock, normal diets",,,No Effect,Upper Limit,2,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-tech.pdf
430,Fluoride Total,EMS_1106,Agriculture - Livestock,Water,Short-term acute,1,1,max,"Dairy Cows, Breeding Stock, Long-lived animals",,,No Effect,Upper Limit,1,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-tech.pdf
431,Fluoride Total,EMS_1106,Agriculture - Livestock,Water,Short-term acute,1,1,max,"High F Diets, Mineral or Mone Meal, Feed Additives",,,No Effect,Upper Limit,1,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-tech.pdf
432,Fluoride Total,EMS_1106,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,"All other livestock, normal diets",,,No Effect,Upper Limit,4,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-tech.pdf
433,Fluoride Total,EMS_1106,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,"Dairy Cows, Breeding Stock, Long-lived animals",,,No Effect,Upper Limit,1.5,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-tech.pdf
434,Fluoride Total,EMS_1106,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,"High F Diets, Mineral or Mone Meal, Feed Additives",,,No Effect,Upper Limit,2,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-tech.pdf
435,Fluoride Total,EMS_1106,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,EMS_0107 <= 10 | EMS_1107 <= 10,,No Effect,Upper Limit,0.4,,mg/L,Interim,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-tech.pdf
436,Fluoride Total,EMS_1106,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,EMS_0107 > 10 | EMS_1107 > 10,,No Effect,Upper Limit,"(92.57 * log(EMS_0107, base = 10) - 51.73) * 0.01",,mg/L,Interim,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-tech.pdf
437,Fluoride Total,EMS_1106,Aquatic Life - Marine,Water,Short-term acute,1,1,max,,,,No Effect,Upper Limit,1.5,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-tech.pdf
438,Fluoride Total,EMS_1106,Drinking Water,Water,Maximum Acceptable Concentration,1,1,max,,,,No Effect,Upper Limit,1.5,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
439,Fluoride Total,EMS_1106,Wildlife,Water,Short-term acute,1,1,max,,,,No Effect,Upper Limit,1.5,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-tech.pdf
440,Fluoride Total,EMS_1106,Wildlife,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,1,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/fluoride-tech.pdf
441,Glyphosate,EMS_G001,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,280,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
442,Glyphosate,EMS_G001,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,Active Ingredient,No Effect,Upper Limit,490,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
443,Heptachlor (Heptachlor epoxide),EMS_H001,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,No Effect,Upper Limit,0.0006,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
444,Heptachlor (Heptachlor epoxide),EMS_H001,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,Probable Effect,Upper Limit,0.00274,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
445,Heptachlor (Heptachlor epoxide),EMS_H001,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,No Effect,Upper Limit,0.0006,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
446,Heptachlor (Heptachlor epoxide),EMS_H001,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,Probable Effect,Upper Limit,0.00274,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
447,Hexachlorobenzene,EMS_H003,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,0.52,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
448,Hexachlorobenzene,EMS_H003,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,based on equalibrium partitioning approach,,,No Effect,Upper Limit,0.011,,ug/g,Working,"Jaagumagi, R. 1993. Development of the Ontario Provincial Sediment Quality Guidelines for PCBs and the Organochlorine Pesticides. Water Resources Branch, Ontario Ministry of the Environment.",,,
449,Hexachlorobenzene,EMS_H003,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,Probable Effect,Upper Limit,0.241,,ug/g,Working,"Jaagumagi, R. 1993. Development of the Ontario Provincial Sediment Quality Guidelines for PCBs and the Organochlorine Pesticides. Water Resources Branch, Ontario Ministry of the Environment.",,,
450,Hexachlorobenzene,EMS_H003,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,No Effect,Upper Limit,0.00381,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
451,Hexachlorobenzene,EMS_H003,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,For dredge disposal based on apparent effects threshold,,,Probable Effect,Upper Limit,0.0231,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
452,Hexachlorobutadiene,EMS_HCBD,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,1.3,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
453,Hexachlorobutadiene,EMS_HCBD,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,No Effect,Upper Limit,0.0391,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
454,Hexachlorobutadiene,EMS_HCBD,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,Probable Effect,Upper Limit,0.0621,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
455,Hexachlorocyclohexane - alpha (Benzene hexachloride-alpha; alpha-HCH),EMS_HCCH,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,effect levels based on screening level concentration,,,No Effect,Upper Limit,0.0061,,ug/g,Working,"Jaagumagi, R. 1993. Development of the Ontario Provincial Sediment Quality Guidelines for PCBs and the Organochlorine Pesticides. Water Resources Branch, Ontario Ministry of the Environment.",,,
456,Hexachlorocyclohexane - alpha (Benzene hexachloride-alpha; alpha-HCH),EMS_HCCH,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,effect levels based on screening level concentration,,,Probable Effect,Upper Limit,0.101,,ug/g,Working,"Jaagumagi, R. 1993. Development of the Ontario Provincial Sediment Quality Guidelines for PCBs and the Organochlorine Pesticides. Water Resources Branch, Ontario Ministry of the Environment.",,,
457,Hexachlorocyclohexane - beta (Benzene hexachloride-beta; beta-HCH),EMS_HCCH,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,effect levels based on screening level concentration,,,No Effect,Upper Limit,0.0051,,ug/g,Working,"Jaagumagi, R. 1993. Development of the Ontario Provincial Sediment Quality Guidelines for PCBs and the Organochlorine Pesticides. Water Resources Branch, Ontario Ministry of the Environment.",,,
458,Hexachlorocyclohexane - beta (Benzene hexachloride-beta; beta-HCH),EMS_HCCH,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,effect levels based on screening level concentration,,,Probable Effect,Upper Limit,0.211,,ug/g,Working,"Jaagumagi, R. 1993. Development of the Ontario Provincial Sediment Quality Guidelines for PCBs and the Organochlorine Pesticides. Water Resources Branch, Ontario Ministry of the Environment.",,,
459,Hexachlorocyclohexane - Total (Benzene hexachloride-Total; BHC),EMS_HCCH,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,effect levels based on screening level concentration,,,No Effect,Upper Limit,0.0031,,ug/g,Working,"Jaagumagi, R. 1993. Development of the Ontario Provincial Sediment Quality Guidelines for PCBs and the Organochlorine Pesticides. Water Resources Branch, Ontario Ministry of the Environment.",,,
460,Hexachlorocyclohexane - Total (Benzene hexachloride-Total; BHC),EMS_HCCH,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,effect levels based on screening level concentration,,,Probable Effect,Upper Limit,0.121,,ug/g,Working,"Jaagumagi, R. 1993. Development of the Ontario Provincial Sediment Quality Guidelines for PCBs and the Organochlorine Pesticides. Water Resources Branch, Ontario Ministry of the Environment.",,,
461,Hexachlorocyclohexane (Lindane-gamma BHC),EMS_L002,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,No Effect,Upper Limit,0.00094,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
462,Hexachlorocyclohexane (Lindane-gamma BHC),EMS_L002,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,Probable Effect,Upper Limit,0.00138,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
463,Hexachlorocyclohexane (Lindane-gamma BHC),EMS_L002,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,No Effect,Upper Limit,0.00032,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
464,Hexachlorocyclohexane (Lindane-gamma BHC),EMS_L002,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,Probable Effect,Upper Limit,0.00099,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
465,Hexachlorocyclohexane (Lindane),EMS_L002,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,4,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
466,Hexachlorocyclohexane (Lindane),EMS_L002,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,0.01,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
467,Imidacloprid,EMS_I101,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,Active Ingredient,No Effect,Upper Limit,0.23,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
468,Imidacloprid,EMS_I101,Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,Active Ingredient,No Effect,Upper Limit,0.65,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
469,"Indeno(1,2,3,c,d)pyrene",EMS_PA13,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,effect levels based on screening level concentration,,,No Effect,Upper Limit,0.2,,ug/g,Working,"Ontario Ministry of Environment and Energy (MOEE). 1993. Guidelines for the protection and management of aquatic sediment quality in Ontario. Report No. ISBN 0772992487. Ontario Ministry of Environment, Water Resources Branch.",,,
470,"Indeno(1,2,3,c,d)pyrene",EMS_PA13,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,effect levels based on screening level concentration,,,Probable Effect,Upper Limit,3.21,,ug/g,Working,"Ontario Ministry of Environment and Energy (MOEE). 1993. Guidelines for the protection and management of aquatic sediment quality in Ontario. Report No. ISBN 0772992487. Ontario Ministry of Environment, Water Resources Branch.",,,
471,"Indeno(1,2,3,c,d)pyrene",EMS_PA13,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,No Effect,Upper Limit,0.341,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
472,"Indeno(1,2,3,c,d)pyrene",EMS_PA13,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,Probable Effect,Upper Limit,0.881,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
473,Iron Dissolved,EMS_FE_D,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,No Effect,Upper Limit,0.35,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/iron-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/iron-tech.pdf
474,Iron Total,EMS_FE_T,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,effect levels based on screening level concentration,,,No Effect,Upper Limit,21200,,ug/g,Working,"Jaagumagi, R. 1993. Development of the Ontario Provincial Sediment Quality Guidelines for Arsenic, Cadmium, Chromium, Copper, Iron, Lead, Manganese, Mercury, Nickel, and Zinc. Water Resources Branch, Ontario Ministry of the Environment.",,,
475,Iron Total,EMS_FE_T,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,effect levels based on screening level concentration,,,Probable Effect,Upper Limit,43766,,ug/g,Working,"Jaagumagi, R. 1993. Development of the Ontario Provincial Sediment Quality Guidelines for Arsenic, Cadmium, Chromium, Copper, Iron, Lead, Manganese, Mercury, Nickel, and Zinc. Water Resources Branch, Ontario Ministry of the Environment.",,,
476,Iron Total,EMS_FE_T,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,No Effect,Upper Limit,1,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/iron-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/iron-tech.pdf
477,Iron Total,EMS_FE_T,Drinking Water,Water,Aesthetic Objective,1,1,max,,,,No Effect,Upper Limit,0.3,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,
478,Lead - Tetra-ethyl lead,,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,0.0007,,ug/L,Working,"Ontario Ministry of Environment and Energy.  1994. Water Management Policies, Guidelines, Provincial Water Quality Objectives of the Ministry of Environment and Energy. 32 p.",,,
479,Lead - Tetra-methyl lead,,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,0.006,,ug/L,Working,"Ontario Ministry of Environment and Energy.  1994. Water Management Policies, Guidelines, Provincial Water Quality Objectives of the Ministry of Environment and Energy. 32 p.",,,
480,Lead Total,EMS_PB_T,Agriculture - Irrigation,Water,Short-term acute,1,1,max,All other soils (except neutral and alkaline fine textured soils),,,No Effect,Upper Limit,200,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-tech.pdf
481,Lead Total,EMS_PB_T,Agriculture - Irrigation,Water,Short-term acute,1,1,max,Neutral and alkaline fine textured soils,,,No Effect,Upper Limit,400,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-tech.pdf
482,Lead Total,EMS_PB_T,Agriculture - Livestock,Water,Short-term acute,1,1,max,,,,No Effect,Upper Limit,100,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-tech.pdf
483,Lead Total,EMS_PB_T,Aquatic Life - Estuarine,Water,Short-term acute,1,1,max,,,,No Effect,Upper Limit,140,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-tech.pdf
484,Lead Total,EMS_PB_T,Aquatic Life - Estuarine,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,2,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-tech.pdf
485,Lead Total,EMS_PB_T,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,No Effect,Upper Limit,35,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
486,Lead Total,EMS_PB_T,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,Probable Effect,Upper Limit,91.3,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
487,Lead Total,EMS_PB_T,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,EMS_0107 <= 8 | EMS_1107 <= 8,,No Effect,Upper Limit,3,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-tech.pdf
488,Lead Total,EMS_PB_T,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,EMS_0107 > 8 | EMS_1107 > 8,,No Effect,Upper Limit,exp(1.273 * log(EMS_0107) - 1.460),,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-tech.pdf
489,Lead Total,EMS_PB_T,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,EMS_0107 > 8 | EMS_1107 > 8,,No Effect,Upper Limit,exp(1.273 * log(EMS_0107) - 4.704) + 3.31,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-tech.pdf
490,Lead Total,EMS_PB_T,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,No Effect,Upper Limit,30.2,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
491,Lead Total,EMS_PB_T,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,Probable Effect,Upper Limit,112,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
492,Lead Total,EMS_PB_T,Aquatic Life - Marine,Water,Short-term acute,1,1,max,,,,No Effect,Upper Limit,140,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-tech.pdf
493,Lead Total,EMS_PB_T,Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,2,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-tech.pdf
494,Lead Total,EMS_PB_T,Wildlife,Water,Short-term acute,1,1,max,,,,No Effect,Upper Limit,100,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/lead-tech.pdf
495,Linear alkylbenzene sulphonates (LAS),,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,65,,ug/L,Working,"Australia and New Zealand Environment and Conservation Council (ANZECC). 2000a. Australian and New Zealand guidelines for fresh and marine water quality, 2000. Volume 1, October 2000. National Water Quality Management Strategy, Paper No. 4. Canberra, AU: Australian and New Zealand Environment and Conservation. 314p.",http://www.waterquality.gov.au/anz-guidelines/resources/previous-guidelines/anzecc-armcanz-2000,,
496,Linuron,EMS_M032,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,"Cereals, hay and pastures",,,No Effect,Upper Limit,3.3,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
497,Linuron,EMS_M032,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,Other crops (e.g. tomato),,,No Effect,Upper Limit,0.071,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
498,Linuron,EMS_M032,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,No Effect,Upper Limit,7,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
499,Lithium Total,EMS_LI_T,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,May not be protective of barley and other cereal crops; 1.0 mg/L suggested for cereal crops.,,,No Effect,Upper Limit,2.5,,mg/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
